clinica;cidade;estado
Avenida Brasil - Treinamento;São Paulo;SP
Londrina - Zona Norte;Londrina;PR
Bento Gonçalves - Desativada;Bento Gonçalves;RS
Caxias do Sul - Desativada;Caxias do Sul;RS
Londrina - Av. Bandeirantes;Londrina;PR
Criciúma;Criciúma;SC
Navegantes - Desativada;Navegantes;SC
Apucarana - Desativada;Apucarana;PR
Cuiabá - Desativada;Cuiabá;MT
Palhoça - Desativada;Palhoça;SC
Rondonópolis - Desativada;Rondonópolis;MT
Uberlândia - Desativada;Uberlândia;MG
Goiânia - Desativada;Goiânia;GO
Florianópolis - Desativada;Florianópolis;SC
Várzea Grande;Várzea Grande;MT
São Luís;São Luís;MA
Astorga;Astorga;PR
Toledo - Desativada;Toledo;PR
Presidente Prudente - Desativada;Presidente Prudente;SP
Porto Alegre - Av. João Pessoa;Porto Alegre;RS
Guarapuava - Desativada;Guarapuava;PR
Rio Verde - Desativada;Rio Verde;GO
Curitiba - Champagnat - Desativada;Curitiba;PR
Curitiba - Água Verde;Curitiba;PR
Passo Fundo - Desativada;Passo Fundo;RS
Indaiatuba;Indaiatuba;SP
Cianorte;Cianorte;PR
Umuarama - Desativada;Umuarama;PR
Maceió;Maceió;AL
São Paulo - Santana - Desativada;São Paulo;SP
Paranavaí;Paranavaí;PR
Loanda;Loanda;PR
Sorocaba;Sorocaba;SP
Sarandi - PR;Sarandi;PR
Maringá;Maringá;PR
Dourados - Desativada;Dourados;MS
Campo Mourão - Desativada;Campo Mourão;PR
Palmas;Palmas;TO
Piracicaba - Desativada;Piracicaba;SP
Campo Grande - Vila Alba;Campo Grande;MS
Sinop - Desativada;Sinop;MT
Sorriso - Desativada;Sorriso;MT
Tangará Da Serra;Tangará da Serra;MT
Jundiaí;Jundiaí;SP
Santos;Santos;SP
Campo Grande - Desativada;Campo Grande;MS
Bauru;Bauru;SP
Blumenau;Blumenau;SC
Três Lagoas;Três Lagoas;MS
Porto Alegre - Av. Benjamin Constant - Desativada;Porto Alegre;RS
Arapongas - Desativada;Arapongas;PR
São Paulo - Tatuapé;São Paulo;SP
Ourinhos;Ourinhos;SP
Avaré - Desativada;Avaré;SP
Telêmaco Borba - Desativada;Telêmaco Borba;PR
Itajaí - Desativada;Itajaí;SC
Araçatuba;Araçatuba;SP
Cambé;Cambé;PR
Rolândia - Desativada;Rolândia;PR
Pelotas;Pelotas;RS
Osasco - Desativada;Osasco;SP
Concórdia - Desativada;Concórdia;SC
Vila Velha - Desativada;Vila Velha;ES
Rio Branco - Desativada;Rio Branco;AC
Guarulhos - Av. Dr. Timóteo Penteado - Desativada;Guarulhos;SP
Juiz De Fora;Juiz de Fora;MG
Cornélio Procópio;Cornélio Procópio;PR
Anápolis;Anápolis;GO
Mogi Das Cruzes;Mogi das Cruzes;SP
São José Do Rio Preto;São José do Rio Preto;SP
Curitiba - Centro - Desativada;Curitiba;PR
Dois Vizinhos - Desativada;Dois Vizinhos;PR
Vilhena - Desativada;Vilhena;RO
Novo Hamburgo;Novo Hamburgo;RS
Franca;Franca;SP
Ribeirão Preto;Ribeirão Preto;SP
Francisco Beltrão - Desativada;Francisco Beltrão;PR
Itapema;Itapema;SC
Tubarão;Tubarão;SC
Manaus - Desativada;Manaus;AM
Jacobina - Desativada;Jacobina;BA
Assis;Assis;SP
Luís Eduardo Magalhães - Desativada;Luís Eduardo Magalhães;BA
Andradina - Desativada;Andradina;SP
Patos De Minas - Desativada;Patos de Minas;MG
Caraguatatuba - Desativada;Caraguatatuba;SP
São Caetano Do Sul;São Caetano do Sul;SP
São Carlos - Desativada;São Carlos;SP
Campinas - Desativada;Campinas;SP
Colíder;Colíder;MT
Rio Claro;Rio Claro;SP
Feira De Santana - Desativada;Feira de Santana;BA
Brasília - Asa Sul - Desativada;Brasília;DF
São Paulo - Ipiranga - Desativada;São Paulo;SP
Lages;Lages;SC
Uberaba;Uberaba;MG
Santa Maria;Santa Maria;RS
Belo Horizonte - Santa Efigênia;Belo Horizonte;MG
Santo Antônio Da Platina - Desativada;Santo Antônio da Platina;PR
Itabaiana;Itabaiana;SE
Araucária;Araucária;PR
Belo Horizonte - Pampulha;Belo Horizonte;MG
Joinville - Desativada;Joinville;SC
Cacoal;Cacoal;RO
Americana - Desativada;Americana;SP
Curitiba - Boqueirão;Curitiba;PR
Canoas;Canoas;RS
Taubaté - Desativada;Taubaté;SP
Botucatu - Desativada;Botucatu;SP
Poços De Caldas - Desativada;Poços de Caldas;MG
Ananindeua - Desativada;Ananindeua;PA
São Paulo - Santo Amaro;São Paulo;SP
Barueri - Desativada;Barueri;SP
Rio Do Sul;Rio do Sul;SC
Natal - Desativada;Natal;RN
Fortaleza - Aldeota - Desativada;Fortaleza;CE
Lucas Do Rio Verde - Desativada;Lucas do Rio Verde;MT
Medianeira - Desativada;Medianeira;PR
Lajeado;Lajeado;RS
Guarujá;Guarujá;SP
Ji-paraná;Ji-Paraná;RO
Cuiabá - Goiabeiras;Cuiabá;MT
Rondonópolis - Desativada;Rondonópolis;MT
Curitiba - Alto da XV - Desativada;Curitiba;PR
Jaú - Desativada;Jaú;SP
Bandeirantes - Desativada;Bandeirantes;PR
Ipatinga - Desativada;Ipatinga;MG
São Leopoldo;São Leopoldo;RS
Belém - Desativada;Belém;PA
Foz Do Iguaçu;Foz do Iguaçu;PR
Ibiporã - Desativada;Ibiporã;PR
Santo André - Desativada;Santo André;SP
Araraquara;Araraquara;SP
Mauá - Desativada;Mauá;SP
Salvador - Pituba - Desativada;Salvador;BA
Araras - Desativada;Araras;SP
Indaial;Indaial;SC
Ijuí;Ijuí;RS
Votuporanga;Votuporanga;SP
São Paulo - Vila Mariana;São Paulo;SP
Itu - Desativada;Itu;SP
Guarulhos - Centro;Guarulhos;SP
Recife - Boa Viagem - Desativada;Recife;PE
Cascavel - Desativada;Cascavel;PR
Brasília - Águas Claras - Desativada;Brasília;DF
São José dos Pinhais;São José dos Pinhais;PR
Paranaguá;Paranaguá;PR
Guaíra;Guaíra;PR
Brusque;Brusque;SC
São Paulo - Lapa - Desativada;São Paulo;SP
Atibaia - Desativada;Atibaia;SP
Santa Cruz do Sul;Santa Cruz do Sul;RS
São Miguel do Oeste - Desativada;São Miguel do Oeste;SC
Cachoeirinha;Cachoeirinha;RS
Aracaju - Desativada;Aracaju;SE
Lins - Desativada;Lins;SP
Ivaiporã;Ivaiporã;PR
São Paulo - Butantã;São Paulo;SP
Birigui;Birigui;SP
Tatuí - Desativada;Tatuí;SP
Piraju;Piraju;SP
Catalão - Desativada;Catalão;GO
Balneário Camboriú;Balneário Camboriú;SC
Erechim - Desativada;Erechim;RS
Pato Branco - Desativada;Pato Branco;PR
Caçador;Caçador;SC
Carazinho - Desativada;Carazinho;RS
Itapetininga;Itapetininga;SP
Pouso Alegre - Desativada;Pouso Alegre;MG
Araxá - Desativada;Araxá;MG
Marília;Marília;SP
Jaraguá do Sul;Jaraguá do Sul;SC
Praia Grande;Praia Grande;SP
São José - Desativada;São José;SC
Joinville;Joinville;SC
Manaus - Desativada;Manaus;AM
Paulínia - Desativada;Paulínia;SP
Itajaí - Desativada;Itajaí;SC
